tt,staname,stla,stlo,stel,evtname,evla,evlo,evel,period,weight,dist,vel
127.511479,MX24,25.8500,103.8500,0.0000,MX00,24.1500,102.1500,0.0000,2.0000,1.0000,255.1072,2.000660
24.038471,MX02,25.0000,102.1500,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,47.2578,1.965926
47.971073,MX03,25.4250,102.1500,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,94.5157,1.970264
71.105251,MX04,25.8500,102.1500,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,141.7735,1.993855
30.450725,MX05,24.1500,102.5750,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,63.9263,2.099334
20.953617,MX06,24.5750,102.5750,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,42.9771,2.051059
33.240755,MX07,25.0000,102.5750,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,63.8282,1.920178
53.559535,MX08,25.4250,102.5750,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,103.7669,1.937413
73.990630,MX09,25.8500,102.5750,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,148.0799,2.001333
47.118644,MX10,24.1500,103.0000,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,98.2158,2.084435
42.046475,MX11,24.5750,103.0000,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,85.9541,2.044264
50.114902,MX12,25.0000,103.0000,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,97.9603,1.954713
66.067314,MX13,25.4250,103.0000,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,127.5565,1.930705
83.989346,MX14,25.8500,103.0000,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,165.5640,1.971250
67.868578,MX15,24.1500,103.4250,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,137.5230,2.026313
64.085284,MX16,24.5750,103.4250,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,128.9309,2.011864
67.980061,MX17,25.0000,103.4250,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,137.1123,2.016949
81.487713,MX18,25.4250,103.4250,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,159.5067,1.957433
99.164697,MX19,25.8500,103.4250,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,191.1831,1.927936
89.846964,MX20,24.1500,103.8500,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,178.5642,1.987426
86.158640,MX21,24.5750,103.8500,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,171.9074,1.995242
87.173215,MX22,25.0000,103.8500,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,178.0018,2.041933
97.859555,MX23,25.4250,103.8500,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,195.6596,1.999392
115.034625,MX24,25.8500,103.8500,0.0000,MX01,24.5750,102.1500,0.0000,2.0000,1.0000,222.1402,1.931072
23.990976,MX03,25.4250,102.1500,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,47.2578,1.969817
47.122616,MX04,25.8500,102.1500,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,94.5157,2.005739
51.068068,MX05,24.1500,102.5750,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,103.8277,2.033124
